,player,team,gp,pim_60,ev_goals_60,ev_assists_60,shot_att_60,shot_pct,thru_pct,ev_60,toi_even,blk_60,hit_60,cf_60,ca_60,corsi_pct,oishot_pct,oisv_pct,off_zs_pct,takeaway_60,giveaway_60,cluster,defense,offense,finishing
1,Aaron Ekblad,FLA,67,1.013645224,0.233411569,1.353787103,10.33138402,3.4,55.5,50.10851202,19.18333333,3.274853801,1.325536062,59.37990326,52.93774395,52.9,10.9,90,48.7,1.442495127,2.884990253,Norris Candidate,1.900965326,6.35985178,4.037582183
2,Aaron Ness,ARI,24,0,0,0.208333333,5.382059801,0,40.7,57.40863787,12,3.986710963,3.388704319,53.95833333,56.66666667,48.8,8.8,90.8,55.6,0.199335548,1.594684385,Stay-at-Home Defender,1.055350078,-4.588170628,-6.184309416
3,Adam Boqvist,CHI,41,0.541353383,0.421632067,0.737856118,9.654135338,8,46.7,51.35789474,13.88333333,3.879699248,2.977443609,57.97440928,61.55828185,48.5,9.2,91,58.4,0.902255639,2.345864662,Two-Way Player,2.510123428,2.370733461,2.566158364
4,Adam Fox,NYR,70,1.451247166,0.358565737,1.126920888,11.02040816,6.4,51.4,53.12169312,16.73333333,4.172335601,1.587301587,55.73136027,51.9408082,51.8,11.4,91.6,53.9,2.585034014,2.766439909,Norris Candidate,3.329536309,5.322725098,4.787321792
5,Adam Larsson,EDM,49,2.160493827,0.068662979,0.343314896,7.839506173,1.6,48,53.94032922,17.83333333,5.061728395,6.913580247,52.59584208,58.70684722,47.3,8.8,91.8,44.3,0.987654321,2.160493827,Bottom Pair Player,-3.590067428,-2.638767007,-2.82283014
6,Adam Pelech,NYI,38,1.494396015,0.086994345,0.521966072,8.592777086,2,42.6,51.53424658,18.15,6.201743462,6.052303861,48.97781644,62.54893432,43.9,9.4,91.6,37.9,2.391033624,3.586550436,Bottom Pair Player,-6.211380273,0.491244106,-2.165522947
7,Alec Martinez,TOT,51,1.257976299,0.191468993,0.574406978,9.626253418,4,42.6,51.41841386,18.43333333,6.399270738,2.351868733,58.58951175,56.93011382,50.7,9,88.7,51.7,0.765724704,1.750227894,Forward Playing Defense,-0.220901344,1.828535755,-0.5188917
8,Alex Biega,DET,49,1.788819876,0,0.254807125,9.167701863,0,44.7,52.65217391,14.41666667,3.428571429,8.571428571,47.64893241,58.01108883,45.1,5.3,93.3,47.5,0.298136646,2.236024845,Healthy Scratch,-2.082783732,-5.633396268,-5.856212979
9,Alex Goligoski,ARI,70,0.892193309,0.092831356,0.881897886,7.918215613,4,47.4,48.05452292,18.46666667,4.981412639,3.382899628,56.48788035,60.34038164,48.4,8.7,91.9,49.1,0.260223048,1.970260223,Forward Playing Defense,-2.55180679,1.238366969,-0.367053456
10,Alex Pietrangelo,STL,70,0.708800945,0.452716298,0.860160966,14.81393975,7.1,53.8,46.96987596,18.93333333,3.154164206,1.665682221,57.49496982,50.97585513,53,10.6,89.7,51.6,1.523922032,1.594802126,Norris Candidate,4.832851433,7.06420389,6.616073728
11,Alexander Edler,VAN,59,2.788605697,0.222486597,1.223676282,11.64917541,4.2,45.6,48.517991,18.28333333,7.286356822,4.857571214,61.23943575,63.68678831,49,10,91.5,42.9,0.404797601,1.934032984,Forward Playing Defense,-5.075246896,2.188653984,1.435644989
12,Andreas Englund,OTT,24,2.748091603,0,0.782608696,5.267175573,0,43.5,52.67175573,9.583333333,3.664122137,13.28244275,49.30434783,55.56521739,47,4,88.7,65.3,0.916030534,1.145038168,Healthy Scratch,2.394794367,-7.517907192,-6.401132394
13,Andrej Sekera,DAL,57,0.81871345,0.06740437,0.40442622,7.485380117,3.2,49.2,52.05555556,15.61666667,4.385964912,1.988304094,51.63174746,57.02409706,47.5,5.7,96.1,44.9,0.467836257,2.923976608,Bottom Pair Player,-3.037928446,-2.361832623,-3.171285979
