Cluster,Stat,Average
Wheel,Corsi,1.2539683
Slant,Corsi,0.6538462
Go Route,Corsi,1.1363636
Out & Up,Corsi,1.1111111
Cross Ice,Corsi,0.1428571
V Route,Corsi,1.6666667
Loop Route,Corsi,1
Other,Corsi,1.069767
Wheel,High-Danger,0.6349206
Slant,High-Danger,0.3461538
Go Route,High-Danger,0.2272727
Out & Up,High-Danger,0.4444444
Cross Ice,High-Danger,0
V Route,High-Danger,1
Loop Route,High-Danger,0.25
Other,High-Danger,0.4069767
Wheel,Pass,3.238095
Slant,Pass,3.038462
Go Route,Pass,3.863636
Out & Up,Pass,3.740741
Cross Ice,Pass,1.857143
V Route,Pass,2
Loop Route,Pass,2.25
Other,Pass,3.139535
