"","order","plot_id","cluster","pp_id","poss_id","game_date","Home.Team","Away.Team","Period","Clock","Home.Team.Skaters","Away.Team.Skaters","Home.Team.Goals","Away.Team.Goals","Team","Player","Event","X.Coordinate","Y.Coordinate","Detail.1","Detail.2","Detail.3","Detail.4","event_id","o_zone","poss_succ","poss_type","rush","zone_pass","rush_pass","corsi","shot","fenwick","high_danger","goal","recep_dum","d_zone"
"1","1","20180211canoar_1_1851_52","Wheel","20180211canoar_1_1851",52,"2018-02-11","can","oar",1,"17:04",5,4,0,0,"can","Ann-Renee Desbiens","Puck Recovery",13,76,"","","","",52,0,1,"Carried",1,0,0,0,0,0,0,0,0,1
"2","1","20180211canoar_1_1851_52","Wheel","20180211canoar_1_1851",52,"2018-02-11","can","oar",1,"17:02",5,4,0,0,"can","Ann-Renee Desbiens","Play",7,60,"Indirect","","","",53,0,1,"Carried",1,0,1,0,0,0,0,0,0,1
"3","1","20180211canoar_1_1851_52","Wheel","20180211canoar_1_1851",52,"2018-02-11","can","oar",1,"17:02",5,4,0,0,"can","Melodie Daoust","Play Reception",7,60,"Indirect","","","",53.5,0,1,"Carried",1,0,0,0,0,0,0,0,1,1
"4","1","20180211canoar_1_1851_52","Wheel","20180211canoar_1_1851",52,"2018-02-11","can","oar",1,"17:00",5,4,0,0,"can","Melodie Daoust","Play",4,42,"Indirect","","","",54,0,1,"Carried",1,0,1,0,0,0,0,0,0,1
"5","1","20180211canoar_1_1851_52","Wheel","20180211canoar_1_1851",52,"2018-02-11","can","oar",1,"17:00",5,4,0,0,"can","Marie-Philip Poulin","Play Reception",4,42,"Indirect","","","",54.5,0,1,"Carried",1,0,0,0,0,0,0,0,1,1
"6","1","20180211canoar_1_1851_52","Wheel","20180211canoar_1_1851",52,"2018-02-11","can","oar",1,"16:56",5,4,0,0,"can","Marie-Philip Poulin","Play",103,37,"Direct","","","",55,0,1,"Carried",1,0,1,0,0,0,0,0,0,1
"7","1","20180211canoar_1_1851_52","Wheel","20180211canoar_1_1851",52,"2018-02-11","can","oar",1,"16:56",5,4,0,0,"can","Rebecca Johnston","Play Reception",121,9,"Direct","","","",55.5,0,1,"Carried",1,0,0,0,0,0,0,0,1,1
"8","1","20180211canoar_1_1851_52","Wheel","20180211canoar_1_1851",52,"2018-02-11","can","oar",1,"16:56",5,4,0,0,"can","Rebecca Johnston","Zone Entry",124,8,"Carried","","","",56,1,1,"Carried",1,0,0,0,0,0,0,0,0,1
"9","1","20180211canoar_1_1851_52","Wheel","20180211canoar_1_1851",52,"2018-02-11","can","oar",1,"16:54",5,4,0,0,"can","Rebecca Johnston","Shot",179,21,"Snapshot","Blocked","t","f",57,1,1,"Carried",0,0,0,1,0,0,1,0,0,1
"10","1","20180211canoar_1_1851_52","Wheel","20180211canoar_1_1851",52,"2018-02-11","can","oar",1,"16:53",5,4,0,0,"can","Rebecca Johnston","Puck Recovery",196,40,"","","","",58,1,1,"Carried",0,0,0,0,0,0,0,0,0,1
"11","3","20180211canoar_1_900_53","Wheel","20180211canoar_1_900",53,"2018-02-11","can","oar",1,"7:20",5,4,0,0,"can","Brigette Lacquette","Puck Recovery",27,25,"","","","",53,0,1,"Carried",1,0,0,0,0,0,0,0,0,1
"12","3","20180211canoar_1_900_53","Wheel","20180211canoar_1_900",53,"2018-02-11","can","oar",1,"7:15",5,4,0,0,"can","Brigette Lacquette","Play",33,48,"Direct","","","",54,0,1,"Carried",1,0,1,0,0,0,0,0,0,1
"13","3","20180211canoar_1_900_53","Wheel","20180211canoar_1_900",53,"2018-02-11","can","oar",1,"7:15",5,4,0,0,"can","Brianne Jenner","Play Reception",70,3,"Direct","","","",54.5,0,1,"Carried",1,0,0,0,0,0,0,0,1,1
"14","3","20180211canoar_1_900_53","Wheel","20180211canoar_1_900",53,"2018-02-11","can","oar",1,"7:12",5,4,0,0,"can","Brianne Jenner","Zone Entry",124,4,"Carried","","","",55,1,1,"Carried",1,0,0,0,0,0,0,0,0,1
"15","3","20180211canoar_1_900_53","Wheel","20180211canoar_1_900",53,"2018-02-11","can","oar",1,"7:10",5,4,0,0,"can","Brianne Jenner","Play",148,16,"Direct","","","",56,1,1,"Carried",0,1,0,0,0,0,0,0,0,1
"16","3","20180211canoar_1_900_53","Wheel","20180211canoar_1_900",53,"2018-02-11","can","oar",1,"7:10",5,4,0,0,"can","Natalie Spooner","Play Reception",171,35,"Direct","","","",56.5,1,1,"Carried",0,0,0,0,0,0,0,0,1,1
"17","3","20180211canoar_1_900_53","Wheel","20180211canoar_1_900",53,"2018-02-11","can","oar",1,"7:10",5,4,0,0,"can","Natalie Spooner","Shot",171,35,"Deflection","On Net","f","t",57,1,1,"Carried",0,0,0,1,1,1,1,0,0,1
"18","3","20180211canoar_1_900_53","Wheel","20180211canoar_1_900",53,"2018-02-11","can","oar",1,"7:08",5,4,0,0,"can","Natalie Spooner","Puck Recovery",195,28,"","","","",58,1,1,"Carried",0,0,0,0,0,0,0,0,0,1
"19","3","20180211canoar_1_900_53","Wheel","20180211canoar_1_900",53,"2018-02-11","can","oar",1,"7:08",5,4,0,0,"can","Natalie Spooner","Incomplete Play",195,28,"Direct","","","",59,1,1,"Carried",0,0,0,0,0,0,0,0,0,1
"20","3","20180211canoar_1_900_53","Wheel","20180211canoar_1_900",53,"2018-02-11","can","oar",1,"7:08",5,4,0,0,"can","Jennifer Wakefield","Incomplete Play Reception",178,33,"Direct","","","",59.5,1,1,"Carried",0,0,0,0,0,0,0,0,1,1
"21","3","20180211canoar_1_900_53","Wheel","20180211canoar_1_900",53,"2018-02-11","can","oar",1,"7:04",5,4,0,0,"can","Brigette Lacquette","Puck Recovery",129,80,"","","","",60,1,1,"Carried",0,0,0,0,0,0,0,0,0,1
"22","3","20180211canoar_1_900_53","Wheel","20180211canoar_1_900",53,"2018-02-11","can","oar",1,"7:03",5,4,0,0,"can","Brigette Lacquette","Play",129,80,"Direct","","","",61,1,1,"Carried",0,1,0,0,0,0,0,0,0,1
"23","3","20180211canoar_1_900_53","Wheel","20180211canoar_1_900",53,"2018-02-11","can","oar",1,"7:03",5,4,0,0,"can","Meghan Agosta","Play Reception",165,79,"Direct","","","",61.5,1,1,"Carried",0,0,0,0,0,0,0,0,1,1
"24","2","20180211canoar_1_900_8","Diagonal","20180211canoar_1_900",8,"2018-02-11","can","oar",1,"8:49",5,4,0,0,"can","Laura Fortino","Puck Recovery",61,75,"","","","",8,0,1,"Carried",1,0,0,0,0,0,0,0,0,1
"25","2","20180211canoar_1_900_8","Diagonal","20180211canoar_1_900",8,"2018-02-11","can","oar",1,"8:45",5,4,0,0,"can","Laura Fortino","Play",66,34,"Direct","","","",9,0,1,"Carried",1,0,1,0,0,0,0,0,0,1
"26","2","20180211canoar_1_900_8","Diagonal","20180211canoar_1_900",8,"2018-02-11","can","oar",1,"8:45",5,4,0,0,"can","Rebecca Johnston","Play Reception",94,6,"Direct","","","",9.5,0,1,"Carried",1,0,0,0,0,0,0,0,1,1
"27","2","20180211canoar_1_900_8","Diagonal","20180211canoar_1_900",8,"2018-02-11","can","oar",1,"8:45",5,4,0,0,"can","Rebecca Johnston","Play",94,6,"Direct","","","",10,0,1,"Carried",1,0,1,0,0,0,0,0,0,1
