Cluster,Stat,type,Average
Wheel,Corsi,Dump-In,0.8529412
Loop Route,Corsi,Dump-In,2.667
Cross Ice,Corsi,Dump-In,0.9459459
Wheel,High-Danger,Dump-In,0.4705882
Loop Route,High-Danger,Dump-In,2
Cross Ice,High-Danger,Dump-In,0.3783784
Wheel,Pass,Dump-In,1.147059
Loop Route,Pass,Dump-In,3.667
Cross Ice,Pass,Dump-In,1.310811
Wheel,Entry %,Dump-In,0.85
Loop Route,Entry %,Dump-In,0.75
Cross Ice,Entry %,Dump-In,0.8222222
Cross Ice,Corsi,Play-In,0.5
Quick In,Corsi,Play-In,0.5
Slant,Corsi,Play-In,0.6428571
Loop Route,Corsi,Play-In,1.25
Cross Ice,High-Danger,Play-In,0.333
Quick In,High-Danger,Play-In,0.5
Slant,High-Danger,Play-In,0.5
Loop Route,High-Danger,Play-In,0.75
Cross Ice,Pass,Play-In,1.75
Quick In,Pass,Play-In,1.75
Slant,Pass,Play-In,1.321429
Loop Route,Pass,Play-In,3.5
Cross Ice,Entry %,Play-In,0.75
Quick In,Entry %,Play-In,0.4
Slant,Entry %,Play-In,0.7777778
Loop Route,Entry %,Play-In,1
