"","order","plot_id","cluster","pp_id","poss_id","game_date","Home.Team","Away.Team","Period","Clock","Home.Team.Skaters","Away.Team.Skaters","Home.Team.Goals","Away.Team.Goals","Team","Player","Event","X.Coordinate","Y.Coordinate","Detail.1","Detail.2","Detail.3","Detail.4","event_id","o_zone","poss_succ","poss_type","rush","zone_pass","rush_pass","corsi","shot","fenwick","high_danger","goal","recep_dum","d_zone"
"1","1","20180211canoar_1_900_39","Diagonal","20180211canoar_1_900",39,"2018-02-11","can","oar",1,"7:54",5,4,0,0,"can","Meghan Agosta","Puck Recovery",43,8,"","","","",39,0,1,"Played",1,0,0,0,0,0,0,0,0,1
"2","1","20180211canoar_1_900_39","Diagonal","20180211canoar_1_900",39,"2018-02-11","can","oar",1,"7:49",5,4,0,0,"can","Meghan Agosta","Play",105,31,"Direct","","","",40,0,1,"Played",1,0,1,0,0,0,0,0,0,1
"3","1","20180211canoar_1_900_39","Diagonal","20180211canoar_1_900",39,"2018-02-11","can","oar",1,"7:49",5,4,0,0,"can","Meghan Agosta","Zone Entry",124,49,"Played","","","",41,1,1,"Played",1,0,0,0,0,0,0,0,0,1
"4","1","20180211canoar_1_900_39","Diagonal","20180211canoar_1_900",39,"2018-02-11","can","oar",1,"7:49",5,4,0,0,"can","Jennifer Wakefield","Play Reception",129,48,"Direct","","","",41.5,1,1,"Played",1,0,0,0,0,0,0,0,1,1
"5","1","20180211canoar_1_900_39","Diagonal","20180211canoar_1_900",39,"2018-02-11","can","oar",1,"7:47",5,4,0,0,"can","Jennifer Wakefield","Shot",155,34,"Slapshot","Missed","t","f",42,1,1,"Played",0,0,0,1,0,1,0,0,0,1
"6","2","20180211canoar_2_006_35","Diagonal","20180211canoar_2_006",35,"2018-02-11","can","oar",3,"19:01",5,4,3,0,"can","Marie-Philip Poulin","Puck Recovery",29,70,"","","","",35,0,1,"Played",1,0,0,0,0,0,0,0,0,1
"7","2","20180211canoar_2_006_35","Diagonal","20180211canoar_2_006",35,"2018-02-11","can","oar",3,"18:55",5,4,3,0,"can","Marie-Philip Poulin","Play",51,42,"Direct","","","",36,0,1,"Played",1,0,1,0,0,0,0,0,0,1
"8","2","20180211canoar_2_006_35","Diagonal","20180211canoar_2_006",35,"2018-02-11","can","oar",3,"18:54",5,4,3,0,"can","Marie-Philip Poulin","Zone Entry",125,45,"Played","","","",37,1,1,"Played",1,0,0,0,0,0,0,0,0,1
"9","2","20180211canoar_2_006_35","Diagonal","20180211canoar_2_006",35,"2018-02-11","can","oar",3,"18:55",5,4,3,0,"can","Haley Irwin","Play Reception",128,48,"Direct","","","",37.5,1,1,"Played",1,0,0,0,0,0,0,0,1,1
"10","2","20180211canoar_2_006_35","Diagonal","20180211canoar_2_006",35,"2018-02-11","can","oar",3,"18:52",5,4,3,0,"can","Haley Irwin","Incomplete Play",157,72,"Direct","","","",38,1,1,"Played",0,0,0,0,0,0,0,0,0,1
"11","2","20180211canoar_2_006_35","Diagonal","20180211canoar_2_006",35,"2018-02-11","can","oar",3,"18:52",5,4,3,0,"can","Melodie Daoust","Incomplete Play Reception",161,49,"Direct","","","",38.5,1,1,"Played",0,0,0,0,0,0,0,0,1,1
"12","3","20180211canoar_2_006_41","Cross Ice","20180211canoar_2_006",41,"2018-02-11","can","oar",3,"18:45",5,4,3,0,"can","Marie-Philip Poulin","Puck Recovery",45,4,"","","","",41,0,1,"Played",1,0,0,0,0,0,0,0,0,1
"13","3","20180211canoar_2_006_41","Cross Ice","20180211canoar_2_006",41,"2018-02-11","can","oar",3,"18:40",5,4,3,0,"can","Marie-Philip Poulin","Play",110,31,"Indirect","","","",42,0,1,"Played",1,0,1,0,0,0,0,0,0,1
"14","3","20180211canoar_2_006_41","Cross Ice","20180211canoar_2_006",41,"2018-02-11","can","oar",3,"18:38",5,4,3,0,"can","Marie-Philip Poulin","Zone Entry",124,4,"Played","","","",43,1,1,"Played",1,0,0,0,0,0,0,0,0,1
"15","3","20180211canoar_2_006_41","Cross Ice","20180211canoar_2_006",41,"2018-02-11","can","oar",3,"18:40",5,4,3,0,"can","Rebecca Johnston","Play Reception",128,2,"Indirect","","","",43.5,1,1,"Played",1,0,0,0,0,0,0,0,1,1
"16","3","20180211canoar_2_006_41","Cross Ice","20180211canoar_2_006",41,"2018-02-11","can","oar",3,"18:36",5,4,3,0,"can","Rebecca Johnston","Incomplete Play",154,4,"Indirect","","","",44,1,1,"Played",0,0,0,0,0,0,0,0,0,1
"17","3","20180211canoar_2_006_41","Cross Ice","20180211canoar_2_006",41,"2018-02-11","can","oar",3,"18:36",5,4,3,0,"can","Haley Irwin","Incomplete Play Reception",178,15,"Indirect","","","",44.5,1,1,"Played",0,0,0,0,0,0,0,0,1,1
"18","4","20180211canoar_2_1035_38","Cross Ice","20180211canoar_2_1035",38,"2018-02-11","can","oar",2,"9:15",5,4,2,0,"can","Brigette Lacquette","Puck Recovery",121,3,"","","","",38,0,0,"Played",1,0,0,0,0,0,0,0,0,0
"19","4","20180211canoar_2_1035_38","Cross Ice","20180211canoar_2_1035",38,"2018-02-11","can","oar",2,"9:15",5,4,2,0,"can","Brigette Lacquette","Incomplete Play",111,5,"Indirect","","","",39,0,0,"Played",1,0,0,0,0,0,0,0,0,0
"20","4","20180211canoar_2_1035_38","Cross Ice","20180211canoar_2_1035",38,"2018-02-11","can","oar",2,"9:15",5,4,2,0,"can","Natalie Spooner","Incomplete Play Reception",132,3,"Indirect","","","",40.5,1,0,"Played",1,0,0,0,0,0,0,0,1,0
"21","5","20180211canoar_2_1035_45","Diagonal","20180211canoar_2_1035",45,"2018-02-11","can","oar",2,"9:00",5,4,2,0,"can","Brigette Lacquette","Puck Recovery",105,1,"","","","",45,0,0,"Played",1,0,0,0,0,0,0,0,0,0
"22","5","20180211canoar_2_1035_45","Diagonal","20180211canoar_2_1035",45,"2018-02-11","can","oar",2,"8:58",5,4,2,0,"can","Brigette Lacquette","Play",91,25,"Direct","","","",46,0,0,"Played",1,0,1,0,0,0,0,0,0,0
"23","5","20180211canoar_2_1035_45","Diagonal","20180211canoar_2_1035",45,"2018-02-11","can","oar",2,"8:58",5,4,2,0,"can","Natalie Spooner","Play Reception",121,39,"Direct","","","",46.5,0,0,"Played",1,0,0,0,0,0,0,0,1,0
