"","game_id","season","type","date","time","home","win","overtimes","team","pts","players","opp","opp_pts","opp_players"
"1","201510270ATL",1516,"Regular","2015-10-27","8:00p",1,0,"","Atlanta Hawks",94,11,"Detroit Pistons",106,9
"2","201510290NYK",1516,"Regular","2015-10-29","8:00p",0,1,"","Atlanta Hawks",112,11,"New York Knicks",101,13
"3","201510300ATL",1516,"Regular","2015-10-30","8:00p",1,1,"","Atlanta Hawks",97,9,"Charlotte Hornets",94,10
"4","201511010CHO",1516,"Regular","2015-11-01","2:00p",0,1,"","Atlanta Hawks",94,10,"Charlotte Hornets",92,10
"5","201511030MIA",1516,"Regular","2015-11-03","7:30p",0,1,"","Atlanta Hawks",98,10,"Miami Heat",92,10
"6","201511040ATL",1516,"Regular","2015-11-04","8:00p",1,1,"","Atlanta Hawks",101,12,"Brooklyn Nets",87,12
"7","201511060NOP",1516,"Regular","2015-11-06","8:00p",0,1,"","Atlanta Hawks",121,10,"New Orleans Pelicans",115,12
"8","201511070ATL",1516,"Regular","2015-11-07","7:30p",1,1,"","Atlanta Hawks",114,11,"Washington Wizards",99,11
"9","201511090ATL",1516,"Regular","2015-11-09","8:00p",1,0,"","Atlanta Hawks",107,10,"Minnesota Timberwolves",117,11
"10","201511110ATL",1516,"Regular","2015-11-11","8:00p",1,1,"","Atlanta Hawks",106,11,"New Orleans Pelicans",98,9
"11","201511130BOS",1516,"Regular","2015-11-13","7:30p",0,0,"","Atlanta Hawks",93,12,"Boston Celtics",106,11
"12","201511150ATL",1516,"Regular","2015-11-15","6:00p",1,0,"","Atlanta Hawks",96,10,"Utah Jazz",97,11
"13","201511170BRK",1516,"Regular","2015-11-17","7:30p",0,0,"","Atlanta Hawks",88,10,"Brooklyn Nets",90,10
"14","201511180ATL",1516,"Regular","2015-11-18","8:00p",1,1,"","Atlanta Hawks",103,10,"Sacramento Kings",97,10
"15","201511210CLE",1516,"Regular","2015-11-21","7:30p",0,0,"","Atlanta Hawks",97,12,"Cleveland Cavaliers",109,12
"16","201511240ATL",1516,"Regular","2015-11-24","8:00p",1,1,"","Atlanta Hawks",121,13,"Boston Celtics",97,13
"17","201511250MIN",1516,"Regular","2015-11-25","8:00p",0,0,"","Atlanta Hawks",95,10,"Minnesota Timberwolves",99,11
